Data Payload (Hex),Count
0000030000000069,6700
0200000000000069,5867
0000000000000069,4471
0180000000000000,2130
0080000000000000,1116
04010100020000,229
85FFFF00007FFF84,181
490E00000E001B0E,170
009B000000000069,98
009A000000000069,86
0099000000000069,73
0070000000000069,68
0098000000000069,68
0065000000000069,67
0097000000000069,66
008B000000000069,61
009C000000000069,60
008E000000000069,60
006D000000000069,60
008D000000000069,59
008A000000000069,58
0061000000000069,56
00C2000000000069,56
0047000000000069,56
00C6000000000069,55
005E000000000069,52
0090000000000069,51
007B000000000069,51
009E000000000069,49
010100008031C000,49
00C5000000000069,48
0096000000000069,46
006E000000000069,46
0043000000000069,45
00CD000000000069,45
005D000000000069,45
00AF000000000069,43
006A000000000069,43
00BF000000000069,43
55C400008031C000,43
00CC000000000069,43
0071000000000069,43
006F000000000069,42
00C0000000000069,42
005C000000000069,42
504200008031C000,42
008C000000000069,41
00BC000000000069,41
0095000000000069,40
015A5A5A36525A41,39
338700008031C000,39
0042000000000069,38
00CE000000000069,37
0081000000000069,37
007C000000000069,37
0049000000000069,37
008F000000000069,37
00A7000000000069,36
00B2000000000069,36
005A000000000069,36
0067000000000069,35
0063000000000069,34
0048000000000069,34
005F000000000069,34
00D4000000000069,33
0060000000000069,33
0064000000000069,33
004D000000000069,32
00AA000000000069,32
00FD000000000069,32
0044000000000069,32
00B9000000000069,31
007E000000000069,31
0040000000000069,31
00D5000000000069,31
0045000000000069,30
0068000000000069,30
007D000000000069,30
00AE000000000069,30
0094000000000069,30
0180030000000000,29
0255303030323636,29
01800E0000000000,29
00B8000000000069,29
0079000000000069,29
009D000000000069,29
00A6000000000069,29
01800F0000000000,29
0000000000575657,28
0091000000000069,27
00C1000000000069,27
0076000000000069,27
004E000000000069,27
006C000000000069,27
00CF000000000069,26
1A00FFA9000C0090,26
004B000000000069,25
1A00FFA9000A0090,25
009F000000000069,25
0066000000000069,25
00C4000000000069,25
0080000000000069,25
00BB000000000069,24
1A00FFA900090090,24
00B7000000000069,24
0041000000000069,24
00E8000000000069,24
1A00FFA900060090,24
0046000000000069,24
0092000000000069,23
006B000000000069,23
0074000000000069,23
1A00FFA9000B0090,23
00AC000000000069,23
00B4000000000069,23
00C7000000000069,22
0089000000000069,22
0087000000000069,22
0051000000000069,22
1A00FFA900010090,22
0058000000000069,22
1A00FFA900020090,22
007A000000000069,22
0078000000000069,22
1A00FFA9000E0090,21
1A00FFA900080090,21
00D0000000000069,21
00BD000000000069,21
00A8000000000069,20
0057000000000069,20
00C3000000000069,20
005B000000000069,20
0180070000000000,20
1A00FFA900040090,20
1A00FFA900030090,20
0082000000000069,20
0050000000000069,20
0180080000000000,20
0062000000000069,20
0180160000000000,20
0072000000000069,20
1A00FFA900000090,20
007F000000000069,19
1A00FFA900050090,19
000080FF907FA800,19
1A00FFA9000D0090,19
FEFFFFFFFFFFFF03,19
01800C0000000000,19
1A00FFA9000F0090,19
00AD000000000069,18
00A3000000000069,18
0039000000000069,18
0086000000000069,18
003A000000000069,18
0053000000000069,18
00AB000000000069,18
00BA000000000069,17
0077000000000069,17
00A9000000000069,17
0075000000000069,17
0180140000000000,17
00B3000000000069,17
0059000000000069,17
01800D0000000000,17
003F000000000069,16
003C000000000069,16
000080FF907FA500,16
003E000000000069,16
0088000000000069,16
004C000000000069,16
FDFFFFFFFFFFFF03,16
0180090000000000,15
FFFFFFFFFFFFFF03,15
